wl,reflectance
400,0.081
410,0.097
420,0.117
430,0.136
440,0.166
450,0.203
460,0.255
470,0.334
480,0.421
490,0.514
500,0.604
510,0.63
520,0.707
530,0.769
540,0.775
550,0.786
560,0.818
570,0.859
580,0.896
590,0.88
600,0.864
610,0.874
620,0.89
630,0.926
640,0.926
650,0.887
660,0.845
670,0.803
680,0.799
690,0.801
700,0.798
710,0.747
720,0.696
730,0.623
740,0.583
750,0.548
760,0.518
770,0.487
780,0.449
790,0.397
800,0.351
810,0.313
820,0.297
830,0.282
840,0.261
850,0.243
860,0.228
870,0.213
880,0.195
890,0.177
900,0.158
910,0.139
920,0.121
930,0.102
940,0.09
950,0.082
960,0.074
970,0.067
980,0.061
990,0.058
1000,0.055
